_id	MetCat key	Name	Validity	Synonyms	Type	Class	(A)chondrite	Group	Petrologic type	Bandwidth (mm)	Shock stage	Weathering grade	Recovered weight	Find or fall	Year	Month	Day	Hour	Locality	Country	Decimal latitude	Decimal longitude	Verbatim latitude	Verbatim longitude	Present in NHM collection	NHM specimen data
26580	A1277.081	Allan Hills 77081	Valid		Stone	Acapulcoite	Achondrite	ACAP				B	8.6 g	Find	1977				Victoria Land	Antarctica	-76.7167	159.6667	76° 43' S	159° 40' E		
27028	A1278.230	Allan Hills 78230	Valid		Stone	Acapulcoite	Achondrite	ACAP					3.87 g	Find	1977				Victoria Land	Antarctica	-76.7167	159.6667	76° 43' S	159° 40' E		
27332	A1281.187	Allan Hills 81187	Valid		Stone	Acapulcoite	Achondrite	ACAP				B/C	40 g	Find	1981				Victoria Land	Antarctica	-76.7167	159.6667	76° 43' S	159° 40' E		
27405	A1281.261	Allan Hills 81261	Valid		Stone	Acapulcoite	Achondrite	ACAP				A/B	11.8 g	Find	1981				Victoria Land	Antarctica	-76.7167	159.6667	76° 43' S	159° 40' E		
27458	A1281.315	Allan Hills 81315	Valid		Stone	Acapulcoite	Achondrite	ACAP				A/B	2.5 g	Find	1981				Victoria Land	Antarctica	-76.7167	159.6667	76° 43' S	159° 40' E		
27777	A1284.190	Allan Hills 84190	Valid		Stone	Acapulcoite	Achondrite	ACAP				C	7.9 g	Find	1984				Victoria Land	Antarctica	-76.7167	159.6667	76° 43' S	159° 40' E		
28305	A147	Acapulco	Valid	[u'El Quemado']	Stone	Acapulcoite	Achondrite	ACAP					1914 g	Fall	1976	August	11	1100	Guerrero	Mexico	16.8833	-99.9	16° 53' N	99° 54' W	Y	https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA147%7CscientificName%3AAcapulco
33161	D745.125	Dhofar 125	Valid		Stone	Acapulcoite	Achondrite	ACAP			S1	W1/2	2697 g	Find	2000	January	26			Oman	18.9867	54.6005	18° 59.2' N	54° 36.03' E	Y	https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AD745.125%7CscientificName%3ADhofar%20125
33316	D745.290	Dhofar 290	Valid		Stone	Acapulcoite	Achondrite	ACAP					62 g	Find	2001	December	11			Oman	19.315	54.8433	19° 18.9' N	54° 50.6' E		
33325	D745.312	Dhofar 312	Valid		Stone	Acapulcoite	Achondrite	ACAP			S1	W3	354 g	Find	2001	January	11			Oman	18.9883	54.605	18° 59.3' N	54° 36.3' E		
36201	F995.029	Frontier Mountain 95029	Valid		Stone	Acapulcoite	Achondrite	ACAP			S1	W1	8.3 g	Find	1995	December	13		Victoria Land	Antarctica	-72.9914	160.4169	72° 59' 29'' S	160° 25' 1'' E		
36434	G1198.028	Graves Nunataks 98028	Valid		Stone	Acapulcoite	Achondrite	ACAP				C	22.4 g	Find	1998				Victoria Land	Antarctica	-86.7167	-141.5	86° 43' S	141° 30' W		
38183	L1186.220	Lewis Cliff 86220	Valid		Stone	Acapulcoite	Achondrite	ACAP					25 g	Find	1986				Victoria Land	Antarctica	-84.2833	161.0833	84° 17' S	161° 5' E		
40321	M2827	Monument Draw	Valid		Stone	Acapulcoite	Achondrite	ACAP					524.5 g	Find	1985				Texas	USA	32.5033	-102.7433	32° 30' 12'' N	102° 44' 36'' W	Y	https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM2827%7CscientificName%3AMonument%20Draw
40868	N1615.725	North West Africa 725	Valid		Stone	Acapulcoite	Achondrite	ACAP					3824 g	Find						North West Africa	30.6	-5.05	30° 36' N	5° 3' W	Y	https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN1615.725%7CscientificName%3ANorth%20West%20Africa%20725
46638	T999.002	Thiel Mountains 99002	Valid		Stone	Acapulcoite	Achondrite	ACAP			S1	W1	44.3 g	Find	2000	January			Victoria Land	Antarctica	-85.1605	-94.5701	85° 9.63' S	94° 34.207' W		
47004	Y274.063	Yamato 74063	Valid		Stone	Acapulcoite	Achondrite	ACAP				B	35.41 g	Find	1974				Queen Maud Land	Antarctica	-71.5	35.6667	71° 30' S	35° 40' E		
51975	Y283.007	Yamato 8307	Valid		Stone	Acapulcoite	Achondrite	ACAP					3.37 g	Find	1983				Queen Maud Land	Antarctica	-71.5	35.6667	71° 30' S	35° 40' E		
